"","code_state","domicilios","residentes","cid","obitos"
"771",27,842802,3098848,"B86",1
"772",27,842802,3098848,"B871",1
"773",27,842802,3098848,"B872",1
"774",27,842802,3098848,"B900",1
"775",27,842802,3098848,"B909",3
"776",27,842802,3098848,"B91",1
"777",27,842802,3098848,"B948",3
"778",27,842802,3098848,"B949",2
"779",27,842802,3098848,"B99",2
"780",27,842802,3098848,"C003",1
"781",27,842802,3098848,"C005",2
"782",27,842802,3098848,"C01",6
"783",27,842802,3098848,"C021",1
"784",27,842802,3098848,"C028",3
"785",27,842802,3098848,"C029",15
"786",27,842802,3098848,"C030",1
"787",27,842802,3098848,"C040",1
"788",27,842802,3098848,"C048",3
"789",27,842802,3098848,"C049",9
"790",27,842802,3098848,"C050",1
"791",27,842802,3098848,"C058",1
"792",27,842802,3098848,"C059",1
"793",27,842802,3098848,"C060",1
"794",27,842802,3098848,"C061",1
"795",27,842802,3098848,"C068",1
"796",27,842802,3098848,"C069",15
"797",27,842802,3098848,"C07",6
"798",27,842802,3098848,"C080",1
"799",27,842802,3098848,"C089",1
"800",27,842802,3098848,"C090",1
"801",27,842802,3098848,"C099",4
"802",27,842802,3098848,"C108",3
"803",27,842802,3098848,"C109",23
"804",27,842802,3098848,"C119",5
"805",27,842802,3098848,"C12",1
